timestamp,employee_id,name,department,role,age,performance_score,job_satisfaction,promotion_status,attrition_risk,work_hours
2024-11-19 15:04:27,8983,Ricardo Rosales,Marketing,Executive,57,2.08,8.35,Promoted,High,56
2024-11-19 15:04:28,2122,Tricia Gonzalez,Engineering,Executive,35,1.28,7.49,Promoted,High,53
2024-11-19 15:04:29,3005,Carlos Stokes,HR,Manager,35,3.66,3.47,Not Promoted,High,33
2024-11-19 15:04:30,2623,Sue Butler,Sales,Executive,51,2.05,8.21,Promoted,Medium,41
2024-11-19 15:04:31,9160,Patrick Morgan,HR,Analyst,23,4.16,9.29,Not Promoted,High,35
2024-11-19 15:04:32,8497,Gregory Wagner,HR,Executive,49,1.93,4.04,Promoted,Medium,34
2024-11-19 15:04:33,5216,Natasha Mckee,HR,Developer,31,4.49,1.53,Not Promoted,High,56
2024-11-19 15:04:34,7647,John Gardner,Operations,Manager,50,2.25,2.85,Promoted,High,33
2024-11-19 15:04:35,5514,Carly Brown,Sales,Consultant,56,3.58,3.94,Promoted,High,36
2024-11-19 15:04:36,5073,Spencer Chapman,Sales,Analyst,53,1.21,6.55,Not Promoted,High,54
2024-11-19 15:04:37,3125,Cody Moore,HR,Executive,43,4.11,3.04,Promoted,Medium,50
2024-11-19 15:04:38,8144,James Hayden,Sales,Consultant,24,2.14,3.15,Promoted,Low,53
2024-11-19 15:04:39,2913,Julie Barajas,HR,Manager,55,2.76,4.2,Not Promoted,High,53
2024-11-19 15:04:40,4043,Tracy Roberts,Marketing,Manager,57,2.27,3.53,Promoted,Low,58
2024-11-19 15:04:41,3202,Carlos Lawson,Engineering,Developer,24,2.2,2.2,Promoted,High,32
2024-11-19 15:04:42,4429,Angel Fields,Sales,Manager,56,3.29,3.91,Promoted,Medium,55
2024-11-19 15:04:43,7246,Jacob Barber,Operations,Manager,50,3.27,5.05,Not Promoted,High,60
2024-11-19 15:04:44,5804,Amy Rivera,Operations,Manager,29,3.41,7.14,Promoted,Low,50
2024-11-19 15:04:45,5181,Cindy Smith,Engineering,Developer,60,1.65,2.27,Not Promoted,High,30
2024-11-19 15:04:46,1481,Douglas Hunt,HR,Manager,52,4.03,7.06,Promoted,Low,33
2024-11-19 15:04:47,2703,Sherri Pratt,Engineering,Analyst,28,4.12,6.59,Not Promoted,Medium,47
2024-11-19 15:04:48,9085,Adam Church,Engineering,Analyst,25,1.9,6.03,Promoted,Low,42
2024-11-19 15:04:49,2940,Andrea Bailey,Marketing,Developer,29,1.93,8.66,Promoted,High,60
2024-11-19 15:04:50,1037,Christy Wilson,Operations,Developer,37,3.25,8.64,Not Promoted,Low,47
2024-11-19 15:04:51,6804,Lauren Wood,Sales,Developer,56,3.56,9.38,Not Promoted,Medium,36
2024-11-19 15:04:52,3485,Katherine Evans,HR,Analyst,30,1.3,7.97,Not Promoted,Low,38
2024-11-19 15:04:53,1351,Mark Davis,HR,Executive,48,2.43,6.82,Promoted,Low,45
2024-11-19 15:04:54,5227,Jean Lynch,Engineering,Consultant,52,4.63,7.86,Not Promoted,High,50
2024-11-19 15:04:55,7864,Tammy Johnson,Sales,Executive,22,2.47,7.75,Not Promoted,Medium,48
2024-11-19 15:04:56,2111,Terri English,Sales,Manager,24,1.37,4.35,Not Promoted,Low,36
2024-11-19 15:04:57,4340,Shannon Hill,Sales,Consultant,32,4.68,2.92,Not Promoted,High,57
2024-11-19 15:04:58,8803,Richard Donovan,Operations,Consultant,49,4.64,4.59,Promoted,High,47
2024-11-19 15:04:59,5298,Joseph Black,Sales,Developer,56,2.24,7.56,Not Promoted,Medium,48
2024-11-19 15:05:00,6573,Robert Smith,Sales,Analyst,30,2.3,7.07,Not Promoted,Low,50
2024-11-19 15:05:01,7167,Christine Hawkins,Sales,Analyst,45,2.74,5.37,Not Promoted,Low,51
2024-11-19 15:05:02,9805,Wendy Adams,Sales,Consultant,45,3.41,1.27,Not Promoted,High,45
2024-11-19 15:05:03,1550,Robert Johnson,Engineering,Consultant,48,3.51,7.75,Promoted,Medium,37
2024-11-19 15:05:04,6962,Todd Taylor MD,HR,Manager,32,1.44,6.86,Not Promoted,Medium,37
2024-11-19 15:05:05,4692,Dawn Buck,HR,Manager,26,4.58,3.84,Promoted,Medium,45
2024-11-19 15:05:06,5056,Greg Stevens,Operations,Executive,27,3.72,9.63,Promoted,Medium,37
2024-11-19 15:05:07,7617,Ronald Moore,Marketing,Executive,59,3.23,3.4,Not Promoted,Low,49
2024-11-19 15:05:08,1251,Danielle Berry,Engineering,Developer,37,4.33,2.47,Not Promoted,High,40
2024-11-19 15:05:09,9713,Joseph Morrow,Sales,Developer,60,3.5,3.97,Not Promoted,Low,38
2024-11-19 15:05:10,8867,Michael Ferguson,Sales,Developer,43,1.51,4.93,Not Promoted,High,53
2024-11-19 15:05:11,1282,Nathaniel Beck,Engineering,Analyst,36,3.19,5.07,Not Promoted,Medium,30
2024-11-19 15:05:12,8204,John Rowe,Operations,Manager,31,3.46,3.43,Not Promoted,Low,46
2024-11-19 15:05:13,1296,Katie Ramirez,HR,Analyst,28,4.16,5.83,Not Promoted,Medium,54
2024-11-19 15:05:14,5889,Peter Hammond,HR,Executive,51,2.22,5.33,Not Promoted,Medium,51
2024-11-19 15:05:15,7685,Kristin Jenkins,Engineering,Consultant,57,4.77,3.95,Promoted,High,32
2024-11-19 15:05:16,1904,Rachael Collier,Marketing,Manager,27,4.37,3.71,Not Promoted,High,58
2024-11-19 15:05:17,9993,Lance Smith,HR,Consultant,40,4.22,5.72,Not Promoted,Medium,32
2024-11-19 15:05:18,9350,Laura Adams,Sales,Manager,25,2.94,1.44,Promoted,High,42
2024-11-19 15:05:19,1349,Christopher Daniels,Marketing,Consultant,23,4.0,6.15,Promoted,High,33
2024-11-19 15:05:20,6337,Jill Ryan,Operations,Manager,34,1.59,6.83,Promoted,Medium,56
2024-11-19 15:05:21,2452,Bruce Gonzalez,Marketing,Analyst,56,2.82,7.18,Promoted,High,59
2024-11-19 15:05:22,4133,Christina Rodriguez,Operations,Analyst,34,3.18,9.77,Promoted,Medium,49
2024-11-19 15:05:23,1637,Brooke Knapp,Marketing,Executive,58,1.76,1.12,Promoted,High,53
2024-11-19 15:05:24,2156,Dr. Alejandra Robertson PhD,HR,Executive,35,1.37,1.18,Promoted,High,58
2024-11-19 15:05:25,9492,Stephen Delgado,Marketing,Developer,28,1.34,7.46,Not Promoted,Medium,43
2024-11-19 15:05:26,2388,Christine Garcia,Engineering,Manager,28,2.33,6.53,Promoted,Medium,34
2024-11-19 15:05:27,6968,Norma Martin,Operations,Manager,39,2.09,1.45,Promoted,High,55
2024-11-19 15:05:28,7698,Taylor Marsh,HR,Executive,35,4.09,1.03,Not Promoted,High,56
2024-11-19 15:05:29,3202,Kathleen Haynes,Operations,Manager,60,3.05,9.82,Not Promoted,Low,33
2024-11-19 15:05:30,2901,Rebecca Chang,HR,Manager,39,1.15,3.29,Not Promoted,Low,53
2024-11-19 15:05:31,7411,Maria Lewis,Marketing,Developer,34,1.46,5.63,Not Promoted,Low,52
2024-11-19 15:05:32,6709,Brandon Callahan,Engineering,Analyst,44,3.01,8.61,Promoted,Low,38
